"country","region","infected","deaths","recoveries","active","total_per_mil","deaths_per_mil","total_tests","long","lat","last_updated"
"World","","2004991","126839","485827","1392325","257","163","0","174.7757724","-41.289636","2020-04-15 13:44:32"
"USA","","614246","26064","38820","549362","1856","79","3100387","-100.4458825","39.7837304","2020-04-15 13:44:32"
"Spain","","174060","18255","67504","88301","3723","390","600000","-4.8380649","39.3262345","2020-04-15 13:44:32"
"Italy","","162488","21067","37130","104291","2687","348","1073689","12.674297","42.6384261","2020-04-15 13:44:32"
"France","","143303","15729","28805","98769","2195","241","333807","1.8883335","46.603354","2020-04-15 13:44:32"
"Germany","","132210","3495","72600","56115","1578","42","1317887","10.4234469","51.0834196","2020-04-15 13:44:32"
"UK","","93873","12107","0","81422","1383","178","382650","-3.2765753","54.7023545","2020-04-15 13:44:32"
"Iran","","74877","4683","48129","22065","891","56","287359","54.5643516","32.6475314","2020-04-15 13:44:32"
"Turkey","","65111","1403","4799","58909","772","17","443626","34.9249653","38.9597594","2020-04-15 13:44:32"
"Belgium","","31119","4157","6868","20094","2685","359","102151","4.6667145","50.6402809","2020-04-15 13:44:32"
"Netherlands","","27419","2945","250","24224","1600","172","134972","5.7480821","52.5001698","2020-04-15 13:44:32"
"Canada","","27063","903","8235","17925","717","24","450717","-107.9917071","61.0666922","2020-04-15 13:44:32"
"Switzerland","","25936","1174","14700","10062","2997","136","199000","8.2319736","46.7985624","2020-04-15 13:44:32"
"Brazil","","25684","1552","14026","10106","121","7","62985","-53.2","-10.3333333","2020-04-15 13:44:32"
"Russia","","24490","198","1986","22306","168","1","1500000","97.7453061","64.6863136","2020-04-15 13:44:32"
"Portugal","","17448","567","347","16534","1711","56","191680","-7.8896263","40.0332629","2020-04-15 13:44:32"
"Austria","","14265","393","8098","5774","1584","44","156801","13.199959","47.2000338","2020-04-15 13:44:32"
"Israel","","12200","126","2309","9765","1410","15","117339","34.8667654","31.5313113","2020-04-15 13:44:32"
"India","","11555","396","1362","9797","8","3","244893","78.6677428","22.3511148","2020-04-15 13:44:32"
"Ireland","","11479","406","77","10996","2325","82","90646","-7.9794599","52.865196","2020-04-15 13:44:32"
"Sweden","","11445","1033","381","10031","1133","102","54700","14.5208584","59.6749712","2020-04-15 13:44:32"
"S. Korea","","10591","225","7616","2750","207","4","534552","127.6961188","36.638392","2020-04-15 13:44:32"
"Peru","","10303","230","2869","7204","312","7","102216","-75.0458515","-6.8699697","2020-04-15 13:44:32"
"Japan","","8100","146","853","7101","64","1","89551","139.2394179","36.5748441","2020-04-15 13:44:32"
"Chile","","7917","92","2646","5179","414","5","87794","-71.3187697","-31.7613365","2020-04-15 13:44:32"
"Ecuador","","7603","369","696","6538","431","21","25347","-79.3666965","-1.3397668","2020-04-15 13:44:32"
"Poland","","7408","268","668","6472","196","7","148321","19.134422","52.215933","2020-04-15 13:44:32"
"Romania","","6879","357","1051","5471","358","19","70097","24.6859225","45.9852129","2020-04-15 13:44:32"
"Denmark","","6681","299","2515","3867","1153","52","77712","10.3333283","55.670249","2020-04-15 13:44:32"
"Norway","","6623","139","32","6452","1222","26","128569","11.52803643954819","64.5731537","2020-04-15 13:44:32"
"Australia","","6440","63","3598","2779","253","2","370394","134.755","-24.7761086","2020-04-15 13:44:32"
"Czechia","","6151","163","676","5312","574","15","137409","15.4749544","49.8167003","2020-04-15 13:44:32"
"Pakistan","","5988","107","1446","4435","27","5","73439","71.247499","30.3308401","2020-04-15 13:44:32"
"Philippines","","5453","349","353","4751","50","3","45486","122.7312101","12.7503486","2020-04-15 13:44:32"
"Mexico","","5399","406","2125","2868","42","3","40091","-99.1331785","19.4326296","2020-04-15 13:44:32"
"Saudi Arabia","","5369","73","889","4407","154","2","150000","42.3528328","25.6242618","2020-04-15 13:44:32"
"Malaysia","","4987","82","2478","2427","154","3","84791","102.2656823","4.5693754","2020-04-15 13:44:32"
"UAE","","4933","28","933","3972","499","3","648195","31.2718321","49.4871968","2020-04-15 13:44:32"
"Indonesia","","4839","459","426","3954","18","2","31628","117.8902853","-2.4833826","2020-04-15 13:44:32"
"Serbia","","4465","94","400","3971","511","11","23398","21.07657433209902","44.024322850000004","2020-04-15 13:44:32"
"Ukraine","","3764","108","143","3513","86","2","39084","31.2718321","49.4871968","2020-04-15 13:44:32"
"Panama","","3574","95","72","3407","828","22","16053","-81.1308434","8.559559","2020-04-15 13:44:32"
"Qatar","","3428","7","373","3048","1190","2","52622","51.2295295","25.3336984","2020-04-15 13:44:32"
"Luxembourg","","3307","67","500","2740","5283","107","29523","6.1296751","49.8158683","2020-04-15 13:44:32"
"Dominican Republic","","3286","183","162","2941","303","17","9275","-70.3028026","19.0974031","2020-04-15 13:44:32"
"Belarus","","3281","33","203","3045","347","3","71875","27.6971358","53.4250605","2020-04-15 13:44:32"
"Singapore","","3252","10","611","2631","556","2","72680","103.8194992","1.357107","2020-04-15 13:44:32"
"Finland","","3161","64","300","2797","571","12","47290","25.9209164","63.2467777","2020-04-15 13:44:32"
"Colombia","","2979","127","354","2498","59","2","45423","-73.783892","2.8894434","2020-04-15 13:44:32"
"Thailand","","2643","43","1497","1103","38","6","100498","100.83273","14.8971921","2020-04-15 13:44:32"
"Argentina","","2443","105","559","1779","54","2","22805","-64.9672817","-34.9964963","2020-04-15 13:44:32"
"South Africa","","2415","27","410","1978","41","5","87022","24.991639","-28.8166236","2020-04-15 13:44:32"
"Egypt","","2350","178","589","1583","23","2","25000","29.2675469","26.2540493","2020-04-15 13:44:32"
"Greece","","2170","101","269","1800","208","10","48798","21.9877132","38.9953683","2020-04-15 13:44:32"
"Algeria","","2070","326","691","1053","47","7","3359","2.9999825","28.0000272","2020-04-15 13:44:32"
"Moldova","","1934","41","171","1722","479","10","6271","28.5670941","47.2879608","2020-04-15 13:44:32"
"Morocco","","1888","126","217","1545","51","3","9609","-7.3362482","31.1728205","2020-04-15 13:44:32"
"Iceland","","1720","8","989","723","5040","23","36339","-18.1059013","64.9841821","2020-04-15 13:44:32"
"Croatia","","1704","31","415","1258","415","8","18359","17.0118954","45.5643442","2020-04-15 13:44:32"
"Hungary","","1579","134","192","1253","163","14","37326","19.5060937","47.1817585","2020-04-15 13:44:32"
"Bahrain","","1528","7","648","873","898","4","70813","50.5344606","26.1551249","2020-04-15 13:44:32"
"Iraq","","1400","78","766","556","35","2","45437","44.1749775","33.0955793","2020-04-15 13:44:32"
"New Zealand","","1386","9","728","649","287","2","66499","172.8344077","-41.5000831","2020-04-15 13:44:32"
"Estonia","","1373","31","115","1227","1035","23","32263","25.3319078","58.7523778","2020-04-15 13:44:32"
"Kuwait","","1355","3","176","1176","317","7","0","47.4979476","29.2733964","2020-04-15 13:44:32"
"Kazakhstan","","1275","15","203","1057","68","8","81359","65.2093197","47.2286086","2020-04-15 13:44:32"
"Slovenia","","1220","56","152","1012","587","27","35946","14.4808369","45.8133113","2020-04-15 13:44:32"
"Uzbekistan","","1214","4","99","1111","36","1","70000","63.9528098","41.32373","2020-04-15 13:44:32"
"Azerbaijan","","1197","13","351","833","118","1","71736","47.7872508","40.3936294","2020-04-15 13:44:32"
"Armenia","","1111","17","297","797","375","6","9095","44.6736646","40.7696272","2020-04-15 13:44:32"
"Lithuania","","1091","29","138","924","401","11","44677","23.7499997","55.3500003","2020-04-15 13:44:32"
"Bosnia and Herzegovina","","1083","40","236","807","330","12","12407","17.5961467","44.3053476","2020-04-15 13:44:32"
"Hong Kong","","1013","4","434","575","135","5","96709","114.1628131","22.2793278","2020-04-15 13:44:32"
"Bangladesh","","1012","46","42","924","6","3","13128","90.2932426","24.4768783","2020-04-15 13:44:32"
"Oman","","910","4","131","775","178","8","0","57.0036901","21.0000287","2020-04-15 13:44:32"
"North Macedonia","","908","44","86","778","436","21","9262","21.7168387","41.6171214","2020-04-15 13:44:32"
"Cameroon","","848","14","130","704","32","5","0","13.1535811","4.6125522","2020-04-15 13:44:32"
"Slovakia","","835","2","113","720","153","4","30052","19.4528646","48.7411522","2020-04-15 13:44:32"
"Afghanistan","","784","25","43","716","20","6","0","66.2385139","33.7680065","2020-04-15 13:44:32"
"Cuba","","766","21","132","613","68","2","18634","-80.8328748","23.0131338","2020-04-15 13:44:32"
"Tunisia","","747","34","43","670","63","3","12415","9.400138","33.8439408","2020-04-15 13:44:32"
"Bulgaria","","735","36","105","594","106","5","18502","25.4856617","42.6073975","2020-04-15 13:44:32"
