"country","region","infected","deaths","recoveries","long","lat","last_updated"
"Japan","Tokyo","2320","39","58","139.7594549","35.6828387","2020-04-15 13:44:32"
"Japan","Osaka","893","6","147","135.490357","34.6198813","2020-04-15 13:44:32"
"Japan","Kanagawa","592","12","55","139.374753","35.4342935","2020-04-15 13:44:32"
"Japan","Chiba","507","6","39","140.118126","35.609985","2020-04-15 13:44:32"
"Japan","Saitama","450","9","26","139.4160114","35.9754168","2020-04-15 13:44:32"
"Japan","Fukuoka","406","4","7","130.6180016","33.6251241","2020-04-15 13:44:32"
"Japan","Hyogo","403","12","59","134.860666","34.914934","2020-04-15 13:44:32"
"Japan","Aichi","347","25","63","137.254574","34.9991645","2020-04-15 13:44:32"
"Japan","Hokkaido","287","12","161","142.95144677396019","43.43395355","2020-04-15 13:44:32"
"Japan","Kyoto","207","0","33","135.7556075","35.021041","2020-04-15 13:44:32"
"Japan","Port Quarantine","154","0","1","136.2394179","33.2185408","2020-04-15 13:44:32"
"Japan","Ishikawa","131","3","5","136.8163563","36.9888678","2020-04-15 13:44:32"
"Japan","Gifu","127","1","5","137.0460777","35.7867449","2020-04-15 13:44:32"
"Japan","Ibaraki","116","5","10","140.4703384","36.2869536","2020-04-15 13:44:32"
"Japan","Hiroshima","105","0","3","132.4518156","34.3916058","2020-04-15 13:44:32"
"Japan","Fukui","92","2","7","136.6068127","35.9263502","2020-04-15 13:44:32"
"Japan","Gunma","90","1","5","139.033483","36.52198","2020-04-15 13:44:32"
"Japan","Okinawa","80","0","3","128.0255901","26.5707754","2020-04-15 13:44:32"
"Japan","Miyagi","64","0","5","140.9761025","38.3880155","2020-04-15 13:44:32"
"Japan","Kochi","62","0","16","133.5606241","33.6569018","2020-04-15 13:44:32"
"Japan","Toyama","55","0","1","137.2183531","36.6468015","2020-04-15 13:44:32"
"Japan","Shiga","52","0","5","136.109385","35.247154","2020-04-15 13:44:32"
"Japan","Shizuoka","47","0","3","138.0955398","34.9332488","2020-04-15 13:44:32"
"Japan","Nara","47","0","8","135.8816819","34.2963089","2020-04-15 13:44:32"
"Japan","Niigata","46","0","25","138.7669125","37.6452283","2020-04-15 13:44:32"
"Japan","Oita","45","0","10","131.4270217","33.1819875","2020-04-15 13:44:32"
"Japan","Yamagata","43","0","0","140.083237","38.4746705","2020-04-15 13:44:32"
"Japan","Wakayama","40","1","15","135.5930743","33.8070292","2020-04-15 13:44:32"
"Japan","Fukushima","38","0","2","140.4592144","37.75454","2020-04-15 13:44:32"
"Japan","Ehime","38","1","4","132.8185275","33.6013646","2020-04-15 13:44:32"
"Japan","Tochigi","38","0","5","139.7341435","36.3824655","2020-04-15 13:44:32"
"Japan","Nagano","37","0","4","138.0319015","36.1143945","2020-04-15 13:44:32"
"Japan","Yamanashi","36","0","2","138.6380495","35.6399328","2020-04-15 13:44:32"
"Japan","Kumamoto","30","0","4","130.6341345","32.6450475","2020-04-15 13:44:32"
"Japan","Yamaguchi","25","0","3","131.5873845","34.2379614","2020-04-15 13:44:32"
"Japan","Aomori","22","0","0","140.590121","40.886943","2020-04-15 13:44:32"
"Japan","Kagawa","19","0","0","134.0586579","34.2480104","2020-04-15 13:44:32"
"Japan","Mie","19","0","5","136.5154489","34.7339685","2020-04-15 13:44:32"
"Japan","Miyazaki","17","0","3","131.294542","32.097681","2020-04-15 13:44:32"
"Japan","Okayama","16","0","0","133.7759256","34.8581334","2020-04-15 13:44:32"
"Japan","Akita","16","0","2","140.342608","39.6898802","2020-04-15 13:44:32"
"Japan","Saga","15","0","1","130.1296585","33.2185408","2020-04-15 13:44:32"
"Japan","Nagasaki","14","0","2","129.7874339","33.1154683","2020-04-15 13:44:32"
"Japan","Shimane","12","0","0","132.537439","34.9418212","2020-04-15 13:44:32"
"Japan","Unspecified","8","0","46","137.2394179","34.2185408","2020-04-15 13:44:32"
"Japan","Kagoshima","4","0","0","130.5474077","31.521587","2020-04-15 13:44:32"
"Japan","Tokushima","3","0","1","134.2509634","33.9196418","2020-04-15 13:44:32"
"Japan","Tottori","1","0","0","133.8678525","35.3555075","2020-04-15 13:44:32"
