"country","region","infected","deaths","recoveries","active","total_per_mil","deaths_per_mil","total_tests","long","lat","last_updated"
"Malaysia","Batu Pahat, Johor","52","0","0","0","0","0","0","102.9346697","1.8472584","2020-04-19 12:34:39"
"Malaysia","Johor Bahru, Johor","185","0","0","0","0","0","0","103.7550839","1.4953041","2020-04-19 12:34:39"
"Malaysia","Kluang, Johor","210","0","0","0","0","0","0","103.3190922","2.0322421","2020-04-19 12:34:39"
"Malaysia","Kota Tinggi, Johor","20","0","0","0","0","0","0","103.901511","1.733136","2020-04-19 12:34:39"
"Malaysia","Kulai, Johor","38","0","0","0","0","0","0","103.605879","1.656937","2020-04-19 12:34:39"
"Malaysia","Mersing, Johor","4","0","0","0","0","0","0","103.8353223","2.4307697","2020-04-19 12:34:39"
"Malaysia","Muar, Johor","46","0","0","0","0","0","0","102.5658852","2.0425046","2020-04-19 12:34:39"
"Malaysia","Pontian, Johor","17","0","0","0","0","0","0","103.387864","1.4875086","2020-04-19 12:34:39"
"Malaysia","Segamat, Johor","15","0","0","0","0","0","0","102.8137391","2.5124036","2020-04-19 12:34:39"
"Malaysia","Tangkak, Johor","14","0","0","0","0","0","0","102.5399606","2.266995","2020-04-19 12:34:39"
"Malaysia","Baling, Kedah","1","0","0","0","0","0","0","100.9172699","5.6774578","2020-04-19 12:34:39"
"Malaysia","Bandar Baharu, Kedah","1","0","0","0","0","0","0","100.4972785","5.1311187","2020-04-19 12:34:39"
"Malaysia","Kota Setar, Kedah","26","0","0","0","0","0","0","100.3690317","6.122603","2020-04-19 12:34:39"
"Malaysia","Pokok Sena, Kedah","1","0","0","0","0","0","0","100.5174321","6.1673132","2020-04-19 12:34:39"
"Malaysia","Kuala Muda, Kedah","35","0","0","0","0","0","0","100.4952892","5.7073152","2020-04-19 12:34:39"
"Malaysia","Kubang Pasu, Kedah","8","0","0","0","0","0","0","100.3723218","6.3356376","2020-04-19 12:34:39"
"Malaysia","Kulim, Kedah","13","0","0","0","0","0","0","100.5525705","5.3663769","2020-04-19 12:34:39"
"Malaysia","Langkawi, Kedah","4","0","0","0","0","0","0","99.7928634","6.3700386","2020-04-19 12:34:39"
"Malaysia","Padang Terap, Kedah","1","0","0","0","0","0","0","100.6645805","6.2566513","2020-04-19 12:34:39"
"Malaysia","Pendang, Kedah","3","0","0","0","0","0","0","100.4791433","5.9927858","2020-04-19 12:34:39"
"Malaysia","Sik, Kedah","1","0","0","0","0","0","0","100.7442773","5.8188544","2020-04-19 12:34:39"
"Malaysia","Bachok, Kelantan","11","0","0","0","0","0","0","102.3999806","6.0624104","2020-04-19 12:34:39"
"Malaysia","Gua Musang, Kelantan","2","0","0","0","0","0","0","101.9652332","4.8792724","2020-04-19 12:34:39"
"Malaysia","Jeli, Kelantan","2","0","0","0","0","0","0","101.8449367","5.6955226","2020-04-19 12:34:39"
"Malaysia","Kota Bharu, Kelantan","90","0","0","0","0","0","0","102.2393455","6.1256053","2020-04-19 12:34:39"
"Malaysia","Kuala Krai, Kelantan","11","0","0","0","0","0","0","102.199106","5.5300168","2020-04-19 12:34:39"
"Malaysia","Pasir Mas, Kelantan","11","0","0","0","0","0","0","102.1399444","6.0494592","2020-04-19 12:34:39"
"Malaysia","Pasir Puteh, Kelantan","8","0","0","0","0","0","0","102.4050452","5.8355343","2020-04-19 12:34:39"
"Malaysia","Tanah Merah, Kelantan","6","0","0","0","0","0","0","102.0341478","5.7663046","2020-04-19 12:34:39"
"Malaysia","Tumpat, Kelantan","13","0","0","0","0","0","0","102.1663281","6.176396","2020-04-19 12:34:39"
"Malaysia","Alor Gajah, Malacca","28","0","0","0","0","0","0","102.210059","2.326005","2020-04-19 12:34:39"
"Malaysia","Central Malacca, Malacca","51","0","0","0","0","0","0","102.246034","2.2581969","2020-04-19 12:34:39"
"Malaysia","Jasin, Malacca","68","0","0","0","0","0","0","102.4375642","2.1806834","2020-04-19 12:34:39"
"Malaysia","Jelebu, Negeri Sembilan","2","0","0","0","0","0","0","102.0766181","2.9968812","2020-04-19 12:34:39"
"Malaysia","Jempol, Negeri Sembilan","12","0","0","0","0","0","0","102.3554649","2.8030871","2020-04-19 12:34:39"
"Malaysia","Kuala Pilah, Negeri Sembilan","6","0","0","0","0","0","0","102.2499409","2.741903","2020-04-19 12:34:39"
"Malaysia","Port Dickson, Negeri Sembilan","9","0","0","0","0","0","0","101.7910408","2.5200864","2020-04-19 12:34:39"
"Malaysia","Rembau, Negeri Sembilan","53","0","0","0","0","0","0","102.095396","2.588283","2020-04-19 12:34:39"
"Malaysia","Seremban, Negeri Sembilan","262","0","0","0","0","0","0","101.9344913","2.7247562","2020-04-19 12:34:39"
"Malaysia","Tampin, Negeri Sembilan","19","0","0","0","0","0","0","102.3327246","2.4806569","2020-04-19 12:34:39"
"Malaysia","AKEPT, Negeri Sembilan","0","0","0","0","0","0","0","","","2020-04-19 12:34:39"
"Malaysia","Bentong, Pahang","15","0","0","0","0","0","0","101.9106178","3.5209319","2020-04-19 12:34:39"
"Malaysia","Bera, Pahang","9","0","0","0","0","0","0","102.5417723","3.2366738","2020-04-19 12:34:39"
"Malaysia","Cameron Highlands, Pahang","2","0","0","0","0","0","0","101.3776004","4.4781693","2020-04-19 12:34:39"
"Malaysia","Jerantut, Pahang","72","0","0","0","0","0","0","102.3719554","3.9366586","2020-04-19 12:34:39"
"Malaysia","Kuantan, Pahang","106","0","0","0","0","0","0","103.3292235","3.8196701","2020-04-19 12:34:39"
"Malaysia","Lipis, Pahang","9","0","0","0","0","0","0","101.9085845","4.3242506","2020-04-19 12:34:39"
"Malaysia","Maran, Pahang","6","0","0","0","0","0","0","102.7747424","3.5822609","2020-04-19 12:34:39"
"Malaysia","Pekan, Pahang","23","0","0","0","0","0","0","103.3936995","3.4900731","2020-04-19 12:34:39"
"Malaysia","Raub, Pahang","1","0","0","0","0","0","0","101.8534912","3.7912608","2020-04-19 12:34:39"
"Malaysia","Rompin, Pahang","3","0","0","0","0","0","0","103.0993556","2.8245772","2020-04-19 12:34:39"
"Malaysia","Temerloh, Pahang","7","0","0","0","0","0","0","102.4175715","3.4483344","2020-04-19 12:34:39"
"Malaysia","Central Seberang Perai, Penang","40","0","0","0","0","0","0","100.45734643656445","5.35397935","2020-04-19 12:34:39"
"Malaysia","North Seberang Perai, Penang","23","0","0","0","0","0","0","100.4279487","5.3421746","2020-04-19 12:34:39"
"Malaysia","South Seberang Perai, Penang","11","0","0","0","0","0","0","100.4271367868263","5.34048995","2020-04-19 12:34:39"
"Malaysia","Northeast Penang Island, Penang","32","0","0","0","0","0","0","100.250172","5.3787924","2020-04-19 12:34:39"
"Malaysia","Southwest Penang Island, Penang","13","0","0","0","0","0","0","100.250172","5.3787924","2020-04-19 12:34:39"
"Malaysia","Batang Padang, Perak","4","0","0","0","0","0","0","101.1509939","4.1398186","2020-04-19 12:34:39"
"Malaysia","Hilir Perak, Perak","58","0","0","0","0","0","0","100.949657","4.7814967","2020-04-19 12:34:39"
"Malaysia","Bagan Datuk, Perak","7","0","0","0","0","0","0","100.7884084","3.989","2020-04-19 12:34:39"
"Malaysia","Hulu Perak, Perak","6","0","0","0","0","0","0","101.2971493","5.4479728","2020-04-19 12:34:39"
"Malaysia","Kampar, Perak","2","0","0","0","0","0","0","101.1614462","4.30066","2020-04-19 12:34:39"
"Malaysia","Kerian, Perak","19","0","0","0","0","0","0","100.4984585","5.0345753","2020-04-19 12:34:39"
"Malaysia","Kinta, Perak","93","0","0","0","0","0","0","101.1975559","4.6724678","2020-04-19 12:34:39"
