"country","region","infected","deaths","recoveries","long","lat","last_updated"
"Philippines","Quezon City","453","","","121.060474","14.680499","2020-04-03 05:24:39"
"Philippines","Manila","185","","","120.985458","14.600625","2020-04-03 05:24:39"
"Philippines","City of Makati","144","","","121.032258","14.553438","2020-04-03 05:24:39"
"Philippines","City of San Juan","118","","","121.0367","14.602473","2020-04-03 05:24:39"
"Philippines","City of Pasig","114","","","121.085479","14.578867","2020-04-03 05:24:39"
"Philippines","City of Paranaque","95","","","121.015008","14.483526","2020-04-03 05:24:39"
"Philippines","City of Mandaluyong","89","","","121.041395","14.583087","2020-04-03 05:24:39"
"Philippines","Taguig City","66","","","121.062471","14.516647","2020-04-03 05:24:39"
"Philippines","City of Muntinlupa","50","","","121.033601","14.402301","2020-04-03 05:24:39"
"Philippines","Davao City","49","","","125.418898","7.26444","2020-04-03 05:24:39"
"Philippines","City of Marikina","43","","","121.104971","14.647311","2020-04-03 05:24:39"
"Philippines","Caloocan City","40","","","121.029544","14.730091","2020-04-03 05:24:39"
"Philippines","City of Las Pinas","40","","","120.995211","14.441391","2020-04-03 05:24:39"
"Philippines","Pasay City","39","","","121.004","14.531409","2020-04-03 05:24:39"
"Philippines","Cainta","30","","","121.11684","14.587371","2020-04-03 05:24:39"
"Philippines","City of Antipolo","25","","","121.236305","14.655886","2020-04-03 05:24:39"
"Philippines","Cebu City","21","","","123.859997","10.379239","2020-04-03 05:24:39"
"Philippines","Bacoor City","16","","","120.971871","14.415148","2020-04-03 05:24:39"
"Philippines","City of Valenzuela","14","","","120.979164","14.709993","2020-04-03 05:24:39"
"Philippines","San Mateo","10","","","121.161005","14.682771","2020-04-03 05:24:39"
"Philippines","Taytay","10","","","121.13449","14.555014","2020-04-03 05:24:39"
"Philippines","City of Malabon","10","","","120.958556","14.674119","2020-04-03 05:24:39"
"Philippines","Baguio City","10","","","120.596166","16.399947","2020-04-03 05:24:39"
"Philippines","Batangas City","8","","","121.102618","13.710154","2020-04-03 05:24:39"
"Philippines","Tuguegarao City","7","","","121.749287","17.61034","2020-04-03 05:24:39"
"Philippines","City of San Jose del Monte","7","","","121.083586","14.815957","2020-04-03 05:24:39"
"Philippines","City of San Pedro","7","","","121.040352","14.34918","2020-04-03 05:24:39"
"Philippines","City of Santa Rosa","7","","","121.091706","14.271948","2020-04-03 05:24:39"
"Philippines","City of Gapan","6","","","121.007496","15.285332","2020-04-03 05:24:39"
"Philippines","Pateros","6","","","121.069479","14.545097","2020-04-03 05:24:39"
"Philippines","City of Dasmarinas","5","","","120.964624","14.313355","2020-04-03 05:24:39"
"Philippines","City of General Trias","5","","","120.900799","14.322366","2020-04-03 05:24:39"
"Philippines","Bacolod City","5","","","122.98505","10.64875","2020-04-03 05:24:39"
"Philippines","City of Tagum","5","","","125.795793","7.431254","2020-04-03 05:24:39"
"Philippines","Marawi City","5","","","124.296624","8.021223","2020-04-03 05:24:39"
"Philippines","City of Malolos","4","","","120.824107","14.832804","2020-04-03 05:24:39"
"Philippines","City of Binan","4","","","121.069209","14.307132","2020-04-03 05:24:39"
"Philippines","City of Calamba","4","","","121.12031","14.187204","2020-04-03 05:24:39"
"Philippines","Rodriguez","4","","","121.218482","14.77272","2020-04-03 05:24:39"
"Philippines","Alicia","3","","","121.674833","16.815184","2020-04-03 05:24:39"
"Philippines","Bulacan","3","","","120.870971","14.768029","2020-04-03 05:24:39"
"Philippines","Marilao","3","","","120.971284","14.772859","2020-04-03 05:24:39"
"Philippines","City of Meycauayan","3","","","120.967938","14.752384","2020-04-03 05:24:39"
"Philippines","City of San Fernando","3","","","120.658311","15.067681","2020-04-03 05:24:39"
"Philippines","City of Tarlac","3","","","120.596146","15.481466","2020-04-03 05:24:39"
"Philippines","Olongapo City","3","","","120.306473","14.826789","2020-04-03 05:24:39"
"Philippines","Imus City","3","","","120.93514","14.396487","2020-04-03 05:24:39"
"Philippines","Tanza","3","","","120.837048","14.348106","2020-04-03 05:24:39"
"Philippines","City of Mati","3","","","126.222694","6.83132","2020-04-03 05:24:39"
"Philippines","Cotabato City","3","","","124.231447","7.208623","2020-04-03 05:24:39"
"Philippines","Caba","2","","","120.377026","16.439951","2020-04-03 05:24:39"
"Philippines","Bayambang","2","","","120.443268","15.78871","2020-04-03 05:24:39"
"Philippines","Tuao","2","","","121.500789","17.679442","2020-04-03 05:24:39"
"Philippines","Baliuag","2","","","120.882549","14.961457","2020-04-03 05:24:39"
"Philippines","Bocaue","2","","","120.932576","14.798714","2020-04-03 05:24:39"
"Philippines","San Ildefonso","2","","","120.998151","15.062306","2020-04-03 05:24:39"
"Philippines","Santa Maria","2","","","120.989235","14.839063","2020-04-03 05:24:39"
"Philippines","Cabanatuan City","2","","","120.990155","15.492491","2020-04-03 05:24:39"
"Philippines","Santa Rosa","2","","","120.966537","15.43235","2020-04-03 05:24:39"
"Philippines","San Simon","2","","","120.790021","15.001703","2020-04-03 05:24:39"
"Philippines","Camiling","2","","","120.411246","15.682868","2020-04-03 05:24:39"
"Philippines","City of Tanauan","2","","","121.098777","14.094421","2020-04-03 05:24:39"
"Philippines","Naic","2","","","120.794711","14.292917","2020-04-03 05:24:39"
"Philippines","Lucena City","2","","","121.615486","13.936754","2020-04-03 05:24:39"
"Philippines","Sariaya","2","","","121.501423","13.928884","2020-04-03 05:24:39"
"Philippines","Binangonan","2","","","121.202317","14.457106","2020-04-03 05:24:39"
"Philippines","Jimalalud","2","","","123.121757","10.011019","2020-04-03 05:24:39"
"Philippines","Iloilo City","2","","","122.555205","10.723489","2020-04-03 05:24:39"
"Philippines","Lapu-Lapu City","2","","","123.992412","10.286819","2020-04-03 05:24:39"
"Philippines","Mandaue City","2","","","123.940861","10.345388","2020-04-03 05:24:39"
"Philippines","Zamboanga City","2","","","122.145241","7.15592","2020-04-03 05:24:39"
"Philippines","Iligan City","2","","","124.372787","8.231113","2020-04-03 05:24:39"
"Philippines","Marantao","2","","","124.229103","7.962383","2020-04-03 05:24:39"
"Philippines","Bauang","1","","","120.34615","16.513125","2020-04-03 05:24:39"
"Philippines","Burgos","1","","","120.469578","16.53189","2020-04-03 05:24:39"
"Philippines","Malasiqui","1","","","120.455289","15.908589","2020-04-03 05:24:39"
"Philippines","Urbiztondo","1","","","120.352458","15.825261","2020-04-03 05:24:39"
"Philippines","City of Urdaneta","1","","","120.559758","15.970451","2020-04-03 05:24:39"
"Philippines","Gattaran","1","","","121.880253","18.052421","2020-04-03 05:24:39"
"Philippines","Cabagan","1","","","121.881424","17.386457","2020-04-03 05:24:39"
"Philippines","Echague","1","","","121.773807","16.642683","2020-04-03 05:24:39"
"Philippines","City of Santiago","1","","","121.556776","16.678471","2020-04-03 05:24:39"
"Philippines","Bayombong","1","","","121.142718","16.476502","2020-04-03 05:24:39"
"Philippines","Solano","1","","","121.176676","16.545294","2020-04-03 05:24:39"
"Philippines","Alfonso Castaneda","1","","","121.328172","15.909342","2020-04-03 05:24:39"
"Philippines","City of Balanga","1","","","120.486259","14.667699","2020-04-03 05:24:39"
"Philippines","Limay","1","","","120.563057","14.53759","2020-04-03 05:24:39"
"Philippines","Orani","1","","","120.485721","14.790488","2020-04-03 05:24:39"
"Philippines","Bustos","1","","","120.928945","14.93072","2020-04-03 05:24:39"
"Philippines","Guiguinto","1","","","120.879511","14.844398","2020-04-03 05:24:39"
"Philippines","Pulilan","1","","","120.837849","14.921803","2020-04-03 05:24:39"
"Philippines","San Miguel","1","","","121.011395","15.179527","2020-04-03 05:24:39"
"Philippines","General Mamerto Natividad","1","","","121.053758","15.590536","2020-04-03 05:24:39"
"Philippines","Laur","1","","","121.181831","15.540682","2020-04-03 05:24:39"
"Philippines","Licab","1","","","120.769477","15.531563","2020-04-03 05:24:39"
"Philippines","San Antonio","1","","","120.804643","15.327754","2020-04-03 05:24:39"
"Philippines","San Isidro","1","","","120.910051","15.271033","2020-04-03 05:24:39"
