"country","region","infected","deaths","recoveries","long","lat","last_updated"
China,"Wuhan, Hubei",50008,,,114.305539,30.592849,"2020-04-07 21:45:39"
China,"Xiangyang, Hubei",1175,,,112.122426,32.009016,"2020-04-07 21:45:39"
China,"Yichang, Hubei",931,,,111.286471,30.691966,"2020-04-07 21:45:39"
China,"Xiantao, Hubei",575,,,113.423482,30.360882,"2020-04-07 21:45:39"
China,"Xiaogan, Hubei",3518,,,113.957037,30.917766,"2020-04-07 21:45:39"
China,"Huanggang, Hubei Province",2907,,,114.872199,30.453667,"2020-04-07 21:45:39"
China,"Jingzhou, Hubei",1580,,,112.239631,30.335237,"2020-04-07 21:45:39"
China,"Ezhou, Hubei",1394,,,114.894843,30.39194,"2020-04-07 21:45:39"
China,"Suizhou, Hubei",1307,,,113.382458,31.690215,"2020-04-07 21:45:39"
China,"Huangshi, Hubei Province",1015,,,115.038835,30.20003,"2020-04-07 21:45:39"
China,"Jingmen, Hubei",928,,,112.199427,31.035395,"2020-04-07 21:45:39"
China,"Xianning, Hubei",836,,,114.322439,29.841438,"2020-04-07 21:45:39"
China,"Shiyan, Hubei",672,,,110.798266,32.629398,"2020-04-07 21:45:39"
China,"Tianmen, Hubei",496,,,113.165862,30.653061,"2020-04-07 21:45:39"
China,"Enshi, Hubei",252,,,109.488172,30.272156,"2020-04-07 21:45:39"
China,"Qianjiang, Hubei",198,,,112.899762,30.402167,"2020-04-07 21:45:39"
China,"Shennongjia, Hubei",11,,,110.680447,31.743483,"2020-04-07 21:45:39"
China,"Outside input, Shanghai",204,,,121.473701,31.230416,"2020-04-07 21:45:39"
China,"Field to Shanghai, Shanghai",111,,,121.473701,31.230416,"2020-04-07 21:45:39"
China,"Baoshan District, Shanghai",22,,,121.489612,31.405457,"2020-04-07 21:45:39"
China,"Jiading District, Shanghai",9,,,121.265374,31.375869,"2020-04-07 21:45:39"
China,"Pudong New Area, Shanghai",61,,,121.544379,31.221517,"2020-04-07 21:45:39"
China,"Minhang District, Shanghai",19,,,121.381716,31.112818,"2020-04-07 21:45:39"
China,"Xuhui District, Shanghai",18,,,121.436539,31.188637,"2020-04-07 21:45:39"
China,"Jing'an District, Shanghai",16,,,121.455964,31.223427,"2020-04-07 21:45:39"
China,"Songjiang District, Shanghai",14,,,121.227747,31.032243,"2020-04-07 21:45:39"
China,"Changning District, Shanghai",13,,,121.424624,31.220367,"2020-04-07 21:45:39"
China,"Putuo District, Shanghai",11,,,121.395555,31.24984,"2020-04-07 21:45:39"
China,"Yangpu District, Shanghai",9,,,121.525727,31.259822,"2020-04-07 21:45:39"
China,"Fengxian District, Shanghai",9,,,121.474042,30.917795,"2020-04-07 21:45:39"
China,"Hongkou District, Shanghai",7,,,121.505132,31.2646,"2020-04-07 21:45:39"
China,"Huangpu District, Shanghai",6,,,121.484443,31.231763,"2020-04-07 21:45:39"
China,"Qingpu District, Shanghai",6,,,121.124178,31.150681,"2020-04-07 21:45:39"
China,"Jinshan District, Shanghai",4,,,121.341969,30.741991,"2020-04-07 21:45:39"
China,"Chongming District, Shanghai",4,,,121.397421,31.623728,"2020-04-07 21:45:39"
China,"To be clearly distinguished, Shanghai",0,,,121.473701,31.230416,"2020-04-07 21:45:39"
China,"Outside input, Beijing",172,,,116.4073963,39.9041999,"2020-04-07 21:45:39"
China,"Chaoyang District, Beijing",72,,,116.443107,39.921469,"2020-04-07 21:45:39"
China,"Haidian District, Beijing",64,,,116.298326,39.959953,"2020-04-07 21:45:39"
China,"Xicheng District, Beijing",53,,,116.365867,39.912288,"2020-04-07 21:45:39"
China,"Fengtai District, Beijing",43,,,116.287149,39.858427,"2020-04-07 21:45:39"
China,"Daxing District, Beijing",39,,,116.341395,39.726929,"2020-04-07 21:45:39"
China,"Field to Beijing, Beijing",25,,,116.4073963,39.9041999,"2020-04-07 21:45:39"
China,"Changping District, Beijing",29,,,116.231203,40.220659,"2020-04-07 21:45:39"
China,"Tongzhou District, Beijing",19,,,116.656434,39.909946,"2020-04-07 21:45:39"
China,"Fangshan District, Beijing",16,,,116.143267,39.749144,"2020-04-07 21:45:39"
China,"Dongcheng District, Beijing",14,,,116.416357,39.928353,"2020-04-07 21:45:39"
China,"Huairou District, Beijing",7,,,116.631979,40.316304,"2020-04-07 21:45:39"
China,"Miyun District, Beijing",7,,,116.843066,40.376931,"2020-04-07 21:45:39"
China,"Shijingshan District, Beijing",14,,,116.222981,39.906611,"2020-04-07 21:45:39"
China,"Mentougou District, Beijing",3,,,116.102009,39.940646,"2020-04-07 21:45:39"
China,"Yanqing District, Beijing",1,,,115.974848,40.456951,"2020-04-07 21:45:39"
China,"Shunyi District, Beijing",10,,,116.65465,40.130347,"2020-04-07 21:45:39"
China,"To be a clear area, Beijing",0,,,116.4073963,39.9041999,"2020-04-07 21:45:39"
China,"Guangzhou, Guangdong Province",464,,,113.264385,23.12911,"2020-04-07 21:45:39"
China,"Sehnzhen, Guangdong province",456,,,114.057865,22.543096,"2020-04-07 21:45:39"
China,"Foshan, Guangdong Province",96,,,113.121435,23.021478,"2020-04-07 21:45:39"
China,"Zhuhai, Guangdong Province",103,,,113.576677,22.270978,"2020-04-07 21:45:39"
China,"Jieyang, Guangdong Province",11,,,116.372708,23.549701,"2020-04-07 21:45:39"
China,"Zhanjiang, Guangdong Province",24,,,110.359368,21.270702,"2020-04-07 21:45:39"
China,"Shantou, Guangdong Province",26,,,116.681972,23.354091,"2020-04-07 21:45:39"
China,"Jiangmen, Guangdong Province",24,,,113.081508,22.579117,"2020-04-07 21:45:39"
China,"Zhaoqing, Guangdong Province",20,,,112.465091,23.047191,"2020-04-07 21:45:39"
China,"Meizhou, Guangdong Province",17,,,116.122523,24.288578,"2020-04-07 21:45:39"
China,"Chaozhou, Guangdong Province",6,,,116.622756,23.656703,"2020-04-07 21:45:39"
China,"Dongguan, Guangdong Province",100,,,113.751799,23.020673,"2020-04-07 21:45:39"
China,"Zhongshan, Guangdong Province",68,,,113.39277,22.517585,"2020-04-07 21:45:39"
China,"Huizhou, Guangdong Province",62,,,114.415801,23.112257,"2020-04-07 21:45:39"
China,"Yangjiang, Guangdong Province",14,,,111.982232,21.857958,"2020-04-07 21:45:39"
China,"Maoming, Guangdong Province",14,,,110.925439,21.662991,"2020-04-07 21:45:39"
China,"Qingyuan, Guangdong Province",12,,,113.056042,23.681774,"2020-04-07 21:45:39"
China,"Shaoguan, Guangdong Province",10,,,113.59762,24.810879,"2020-04-07 21:45:39"
China,"Shanwei, Guangdong Province",5,,,115.375158,22.786186,"2020-04-07 21:45:39"
China,"Heyuan, Guangdong Province",4,,,114.700961,23.743685,"2020-04-07 21:45:39"
China,"To be clear areas, Guangdong Province",0,,,113.7632828,23.3790333,"2020-04-07 21:45:39"
China,"Outside input, Heilongjiang Province",87,,,128.738231,47.1216472,"2020-04-07 21:45:39"
China,"Harbin, Heilongjiang Province",198,,,126.534967,45.803775,"2020-04-07 21:45:39"
China,"Shuangyashan, Heilongjiang Province",52,,,131.159133,46.646508,"2020-04-07 21:45:39"
China,"Suihua, Heilongjiang Province",47,,,126.968887,46.653845,"2020-04-07 21:45:39"
China,"Jixi, Heilongjiang Province",46,,,130.969333,45.295075,"2020-04-07 21:45:39"
China,"Qiqihar, Heilongjiang Province",43,,,123.918186,47.354348,"2020-04-07 21:45:39"
China,"Daqing, Heilongjiang Province",26,,,125.103784,46.589309,"2020-04-07 21:45:39"
China,"Qitaihe, Heilongjiang Province",17,,,131.0031381,45.771726,"2020-04-07 21:45:39"
China,"Jiamusi, Heilongjiang Province",15,,,130.3188779,46.799777,"2020-04-07 21:45:39"
China,"Mudanjiang, Heilongjiang Province",15,,,129.633168,44.551653,"2020-04-07 21:45:39"
China,"Heihe, Heilongjiang Province",14,,,127.528293,50.245129,"2020-04-07 21:45:39"
China,"Hegang, Heilongjiang Province",5,,,130.297964,47.349916,"2020-04-07 21:45:39"
China,"Mountains, Heilongjiang Province",3,,,124.711526,52.335262,"2020-04-07 21:45:39"
China,"Yichun, Heilongjiang Province",1,,,128.8411471,47.727536,"2020-04-07 21:45:39"
China,"Enter the personnel overseas, Inner Mongolia Autonomous Region",49,,,115.0594815,43.37822,"2020-04-07 21:45:39"
China,"Ordos, Inner Mongolia Autonomous Region",11,,,109.781327,39.608266,"2020-04-07 21:45:39"
China,"Baotou, Inner Mongolia Autonomous Region",11,,,109.840313,40.657978,"2020-04-07 21:45:39"
China,"Chifeng, Inner Mongolia Autonomous Region",9,,,118.886931,42.25785,"2020-04-07 21:45:39"
China,"Xilin Gol League, Inner Mongolia Autonomous Region",9,,,116.0482221,43.933454,"2020-04-07 21:45:39"
China,"Bayan Nur, Inner Mongolia Autonomous Region",8,,,107.387657,40.743213,"2020-04-07 21:45:39"
China,"Hohhot, Inner Mongolia Autonomous Region",7,,,111.749995,40.842356,"2020-04-07 21:45:39"
China,"Tongliao, Inner Mongolia Autonomous Region",7,,,122.243444,43.65289,"2020-04-07 21:45:39"
China,"Hulun Buir, Inner Mongolia Autonomous Region",7,,,119.765607,49.211742,"2020-04-07 21:45:39"
China,"Wulanchabu, Inner Mongolia Autonomous Region",3,,,113.132585,40.994785,"2020-04-07 21:45:39"
China,"Wuhai City, Inner Mongolia Autonomous Region",2,,,106.794216,39.655248,"2020-04-07 21:45:39"
China,"Xing'an League, Inner Mongolia Autonomous Region",1,,,122.037657,46.082462,"2020-04-07 21:45:39"
China,"Enter the personnel overseas, Fujian Province",55,,,117.9249002,26.4836842,"2020-04-07 21:45:39"
China,"Fuzhou, Fujian Province",72,,,119.296482,26.074478,"2020-04-07 21:45:39"
China,"Putian, Fujian Province",56,,,119.007777,25.454084,"2020-04-07 21:45:39"
China,"Quanzhou, Fujian Province",47,,,118.675675,24.874132,"2020-04-07 21:45:39"
China,"Xiamen, Fujian Province",35,,,118.089425,24.479833,"2020-04-07 21:45:39"
China,"Ningde, Fujian",26,,,119.547932,26.665617,"2020-04-07 21:45:39"
China,"Zhangzhou, Fujian Province",20,,,117.647093,24.513025,"2020-04-07 21:45:39"
China,"Nanping, Fujian",20,,,118.17771,26.641774,"2020-04-07 21:45:39"
China,"Sanming, Fujian",14,,,117.638678,26.263406,"2020-04-07 21:45:39"
China,"Longyan, Fujian",6,,,117.017536,25.075123,"2020-04-07 21:45:39"
China,"Outside input, Zhejiang",48,,,119.7889248,29.1416432,"2020-04-07 21:45:39"
China,"Jiaxing, Zhejiang Province",46,,,120.758543,30.753924,"2020-04-07 21:45:39"
China,"Wenzhou, Zhejiang",504,,,120.699361,27.993828,"2020-04-07 21:45:39"
