"country","region","infected","deaths","recoveries","active","total_per_mil","deaths_per_mil","total_tests","long","lat","last_updated"
"World","","2333283","160818","600345","1572120","299","206","0","174.7757724","-41.289636","2020-04-19 12:34:39"
"USA","","738923","39015","68285","631623","2232","118","3722209","-100.4458825","39.7837304","2020-04-19 12:34:39"
"Spain","","194416","20639","74797","98980","4158","441","930230","-4.8380649","39.3262345","2020-04-19 12:34:39"
"Italy","","175925","23227","44927","107771","2910","384","1305833","12.674297","42.6384261","2020-04-19 12:34:39"
"France","","151793","19323","35983","96487","2325","296","463662","1.8883335","46.603354","2020-04-19 12:34:39"
"Germany","","143724","4538","88000","51186","1715","54","1728357","10.4234469","51.0834196","2020-04-19 12:34:39"
"UK","","114217","15464","0","98409","1682","228","460437","-3.2765753","54.7023545","2020-04-19 12:34:39"
"Turkey","","82329","1890","10453","69986","976","22","598933","34.9249653","38.9597594","2020-04-19 12:34:39"
"Iran","","80868","5031","55987","19850","963","60","330137","54.5643516","32.6475314","2020-04-19 12:34:39"
"Belgium","","37183","5453","8348","23382","3208","471","145997","4.6667145","50.6402809","2020-04-19 12:34:39"
"Brazil","","36925","2372","14026","20527","174","11","62985","-53.2","-10.3333333","2020-04-19 12:34:39"
"Russia","","36793","313","3057","33423","252","2","1831892","97.7453061","64.6863136","2020-04-19 12:34:39"
"Canada","","33383","1470","11207","20706","885","39","516216","-107.9917071","61.0666922","2020-04-19 12:34:39"
"Netherlands","","31589","3601","250","27738","1844","210","154911","5.7480821","52.5001698","2020-04-19 12:34:39"
"Switzerland","","27404","1368","17100","8936","3166","158","216400","8.2319736","46.7985624","2020-04-19 12:34:39"
"Portugal","","19685","687","610","18388","1931","67","235878","-7.8896263","40.0332629","2020-04-19 12:34:39"
"India","","16365","521","2466","13378","12","4","372123","78.6677428","22.3511148","2020-04-19 12:34:39"
"Ireland","","14758","571","77","14110","2989","116","90646","-7.9794599","52.865196","2020-04-19 12:34:39"
"Austria","","14671","443","10214","4014","1629","49","175932","13.199959","47.2000338","2020-04-19 12:34:39"
"Peru","","14420","348","6684","7388","437","11","135895","-75.0458515","-6.8699697","2020-04-19 12:34:39"
