"country","region","infected","deaths","recoveries","long","lat","last_updated"
"Japan","Tokyo","2069","39","58","139.7594549","35.6828387","2020-04-13 12:13:20"
"Japan","Osaka","811","5","121","135.490357","34.6198813","2020-04-13 12:13:20"
"Japan","Kanagawa","545","10","44","139.374753","35.4342935","2020-04-13 12:13:20"
"Japan","Chiba","456","5","37","140.118126","35.609985","2020-04-13 12:13:20"
"Japan","Saitama","423","5","31","139.4160114","35.9754168","2020-04-13 12:13:20"
"Japan","Hyogo","379","12","59","134.860666","34.914934","2020-04-13 12:13:20"
"Japan","Fukuoka","362","1","7","130.6180016","33.6251241","2020-04-13 12:13:20"
"Japan","Aichi","351","25","63","137.254574","34.9991645","2020-04-13 12:13:20"
"Japan","Hokkaido","264","11","148","142.95144677396019","43.43395355","2020-04-13 12:13:20"
"Japan","Kyoto","193","0","29","135.7556075","35.021041","2020-04-13 12:13:20"
"Japan","Port Quarantine","154","0","1","136.2394179","33.2185408","2020-04-13 12:13:20"
"Japan","Ishikawa","113","0","5","136.8163563","36.9888678","2020-04-13 12:13:20"
"Japan","Gifu","112","1","5","137.0460777","35.7867449","2020-04-13 12:13:20"
"Japan","Ibaraki","109","5","10","140.4703384","36.2869536","2020-04-13 12:13:20"
"Japan","Gunma","90","1","4","139.033483","36.52198","2020-04-13 12:13:20"
"Japan","Fukui","88","1","3","136.6068127","35.9263502","2020-04-13 12:13:20"
"Japan","Okinawa","69","0","3","128.0255901","26.5707754","2020-04-13 12:13:20"
"Japan","Hiroshima","62","0","3","132.4518156","34.3916058","2020-04-13 12:13:20"
"Japan","Kochi","60","0","12","133.5606241","33.6569018","2020-04-13 12:13:20"
"Japan","Miyagi","51","0","1","140.9761025","38.3880155","2020-04-13 12:13:20"
"Japan","Oita","42","0","10","131.4270217","33.1819875","2020-04-13 12:13:20"
"Japan","Niigata","42","0","17","138.7669125","37.6452283","2020-04-13 12:13:20"
"Japan","Shizuoka","41","0","3","138.0955398","34.9332488","2020-04-13 12:13:20"
"Japan","Nara","41","0","8","135.8816819","34.2963089","2020-04-13 12:13:20"
"Japan","Toyama","40","0","0","137.2183531","36.6468015","2020-04-13 12:13:20"
"Japan","Wakayama","39","1","15","135.5930743","33.8070292","2020-04-13 12:13:20"
"Japan","Yamagata","38","0","0","140.083237","38.4746705","2020-04-13 12:13:20"
"Japan","Shiga","38","0","3","136.109385","35.247154","2020-04-13 12:13:20"
"Japan","Fukushima","37","0","2","140.4592144","37.75454","2020-04-13 12:13:20"
"Japan","Yamanashi","35","0","2","138.6380495","35.6399328","2020-04-13 12:13:20"
"Japan","Tochigi","35","0","5","139.7341435","36.3824655","2020-04-13 12:13:20"
"Japan","Ehime","29","1","4","132.8185275","33.6013646","2020-04-13 12:13:20"
"Japan","Nagano","29","0","4","138.0319015","36.1143945","2020-04-13 12:13:20"
"Japan","Kumamoto","27","0","4","130.6341345","32.6450475","2020-04-13 12:13:20"
"Japan","Yamaguchi","23","0","3","131.5873845","34.2379614","2020-04-13 12:13:20"
"Japan","Aomori","22","0","0","140.590121","40.886943","2020-04-13 12:13:20"
"Japan","Miyazaki","17","0","3","131.294542","32.097681","2020-04-13 12:13:20"
"Japan","Mie","17","0","5","136.5154489","34.7339685","2020-04-13 12:13:20"
"Japan","Okayama","15","0","0","133.7759256","34.8581334","2020-04-13 12:13:20"
"Japan","Akita","15","0","2","140.342608","39.6898802","2020-04-13 12:13:20"
"Japan","Nagasaki","14","0","2","129.7874339","33.1154683","2020-04-13 12:13:20"
"Japan","Saga","13","0","1","130.1296585","33.2185408","2020-04-13 12:13:20"
"Japan","Kagawa","8","0","0","134.0586579","34.2480104","2020-04-13 12:13:20"
"Japan","Unspecified","8","0","46","137.2394179","34.2185408","2020-04-13 12:13:20"
"Japan","Shimane","7","0","0","132.537439","34.9418212","2020-04-13 12:13:20"
"Japan","Kagoshima","4","0","0","130.5474077","31.521587","2020-04-13 12:13:20"
"Japan","Tokushima","3","0","1","134.2509634","33.9196418","2020-04-13 12:13:20"
"Japan","Tottori","1","0","0","133.8678525","35.3555075","2020-04-13 12:13:20"
