"country","region","infected","deaths","recoveries","long","lat","last_updated"
"Canada","Alberta","5165","87","0","-116.5765","53.9333","2020-04-30 20:04:02"
"Australia","Australian Capital Territory","106","3","101","149.0124","-35.4735","2020-04-30 20:04:02"
"Canada","British Columbia","2087","109","0","-127.6476","53.7267","2020-04-30 20:04:02"
"Canada","Diamond Princess","0","1","0","","","2020-04-30 20:04:02"
"Canada","Grand Princess","13","0","0","","","2020-04-30 20:04:02"
"Canada","Manitoba","275","6","0","-98.8139","53.7609","2020-04-30 20:04:02"
"Canada","New Brunswick","118","0","0","-66.4619","46.5653","2020-04-30 20:04:02"
"Australia","New South Wales","3016","40","2284","151.2093","-33.8688","2020-04-30 20:04:02"
"Canada","Newfoundland and Labrador","258","3","0","-57.6604","53.1355","2020-04-30 20:04:02"
"Australia","Northern Territory","28","0","25","130.8456","-12.4634","2020-04-30 20:04:02"
"Canada","Northwest Territories","5","0","0","-124.8457","64.8255","2020-04-30 20:04:02"
"Canada","Nova Scotia","935","28","0","-63.7443","44.682","2020-04-30 20:04:02"
"Canada","Ontario","16978","1153","0","-85.3232","51.2538","2020-04-30 20:04:02"
"Canada","Prince Edward Island","27","0","0","-63.4168","46.5107","2020-04-30 20:04:02"
"Canada","Quebec","26610","1762","0","-73.5491","52.9399","2020-04-30 20:04:02"
"Australia","Queensland","1033","6","943","153.0251","-27.4698","2020-04-30 20:04:02"
"Canada","Recovered","0","0","20327","","","2020-04-30 20:04:02"
"Canada","Saskatchewan","383","6","0","-106.4509","52.9399","2020-04-30 20:04:02"
"Australia","South Australia","438","4","420","138.6007","-34.9285","2020-04-30 20:04:02"
"Australia","Tasmania","219","12","144","147.3272","-42.8821","2020-04-30 20:04:02"
"Australia","Victoria","1361","18","1291","144.9631","-37.8136","2020-04-30 20:04:02"
"Australia","Western Australia","551","8","507","115.8605","-31.9505","2020-04-30 20:04:02"
"Canada","Yukon","11","0","0","-135.0","64.2823","2020-04-30 20:04:02"
