"country","region","infected","deaths","recoveries","long","lat","last_updated"
"Philippines","Metro Manila","5640","392","677","121.0329706","14.5736108","2020-04-30 20:04:02"
"Philippines","Cordillera","44","1","17","121.06316012339529","17.36674735","2020-04-30 20:04:02"
"Philippines","Ilocos Region","62","11","17","120.47134539388077","17.201295899999998","2020-04-30 20:04:02"
"Philippines","Cagayan Valley","31","1","22","121.87547698030207","17.68069845","2020-04-30 20:04:02"
"Philippines","Central Luzon","365","28","25","120.68569951248944","15.390911849999998","2020-04-30 20:04:02"
"Philippines","Calabarzon","1113","72","113","121.35366010781269","14.1638114","2020-04-30 20:04:02"
"Philippines","Mimaropa","21","2","7","121.40641830505142","13.0152201","2020-04-30 20:04:02"
"Philippines","Bicol Region","46","3","7","123.52313310936306","13.100588","2020-04-30 20:04:02"
"Philippines","Western Visayas","69","9","22","122.72299087286851","10.67295935","2020-04-30 20:04:02"
"Philippines","Central Visayas","533","9","20","123.86939597334481","10.264054","2020-04-30 20:04:02"
"Philippines","Eastern Visayas","14","1","2","124.99755612215378","11.327827249999999","2020-04-30 20:04:02"
"Philippines","Zamboanga Peninsula","13","2","3","122.75600476636146","7.77301775","2020-04-30 20:04:02"
"Philippines","Northern Mindanao","12","5","5","124.68719606690779","8.40488525","2020-04-30 20:04:02"
"Philippines","Davao Region","132","18","73","125.42986518727277","6.610975","2020-04-30 20:04:02"
"Philippines","Soccsksargen","17","1","12","124.53813740467243","6.594076","2020-04-30 20:04:02"
"Philippines","Caraga","3","0","0","125.85578188652231","9.2471392","2020-04-30 20:04:02"
"Philippines","Bangsamoro","10","3","1","120.0284034624274","5.8506231","2020-04-30 20:04:02"
