"country","region","infected","deaths","recoveries","active","total_per_mil","deaths_per_mil","total_tests","long","lat","last_updated"
"South Korea","Seoul","595","2","0","0","0","0","0","126.9782914","37.5666791","2020-04-13 12:44:51"
"South Korea","Busan","126","3","0","0","0","0","0","129.0752365","35.1799528","2020-04-13 12:44:51"
"South Korea","Daegu","6807","142","0","0","0","0","0","128.6018","35.8713","2020-04-13 12:44:51"
"South Korea","Incheon","85","0","0","0","0","0","0","126.7052","37.456","2020-04-13 12:44:51"
"South Korea","Gwangju","27","0","0","0","0","0","0","126.8515089","35.1595775","2020-04-13 12:44:51"
"South Korea","Daejeon","39","0","0","0","0","0","0","127.3848","36.3496","2020-04-13 12:44:51"
"South Korea","Ulsan","40","1","0","0","0","0","0","129.3119136","35.5391697","2020-04-13 12:44:51"
"South Korea","Sejong","46","0","0","0","0","0","0","127.289","36.4799999","2020-04-13 12:44:51"
"South Korea","Gyeonggi","615","11","0","0","0","0","0","127.0095","37.2752","2020-04-13 12:44:51"
"South Korea","Gangwon","49","1","0","0","0","0","0","127.7297","37.885","2020-04-13 12:44:51"
"South Korea","Chungbuk","45","0","0","0","0","0","0","127.4915","36.6357","2020-04-13 12:44:51"
"South Korea","Chungnam","138","0","0","0","0","0","0","126.6729","36.6593","2020-04-13 12:44:51"
"South Korea","Jeonbuk","17","0","0","0","0","0","0","127.109","35.8198999","2020-04-13 12:44:51"
"South Korea","Jeonnam","15","0","0","0","0","0","0","126.4629","34.8159","2020-04-13 12:44:51"
"South Korea","Gyeongbuk","1327","48","0","0","0","0","0","128.5058","36.5754","2020-04-13 12:44:51"
"South Korea","Gyeongnam","115","0","0","0","0","0","0","128.6925","35.2382","2020-04-13 12:44:51"
"South Korea","Jeju","12","0","0","0","0","0","0","126.5626653","33.3939924","2020-04-13 12:44:51"
"South Korea","Airport screening","352","0","0","0","0","0","0","127.6961188","36.638392","2020-04-13 12:44:51"
"India","Andaman and Nicobar Islands","1","0","10","0","0","0","0","92.5771329","10.2188344","2020-04-13 12:44:51"
"India","Andhra Pradesh","409","7","11","0","0","0","0","80.1863809","15.9240905","2020-04-13 12:44:51"
"India","Arunachal Pradesh","1","0","0","0","0","0","0","96.4597226","27.6891712","2020-04-13 12:44:51"
"India","Assam","29","1","0","0","0","0","0","93.2551303","26.4073841","2020-04-13 12:44:51"
"India","Bihar","44","1","19","0","0","0","0","85.906508","25.6440845","2020-04-13 12:44:51"
"India","Chandigarh","14","0","7","0","0","0","0","76.7646552","30.7194022","2020-04-13 12:44:51"
"India","Chhattisgarh","21","0","10","0","0","0","0","81.8406351","21.6637359","2020-04-13 12:44:51"
"India","Delhi","1103","24","27","0","0","0","0","77.2219388","28.6517178","2020-04-13 12:44:51"
"India","Goa","2","0","5","0","0","0","0","74.0855134","15.3004543","2020-04-13 12:44:51"
"India","Gujarat","447","25","44","0","0","0","0","72.03149703699282","22.41540825","2020-04-13 12:44:51"
"India","Haryana","153","3","29","0","0","0","0","76.0","29.0","2020-04-13 12:44:51"
"India","Himachal Pradesh","18","1","13","0","0","0","0","77.34932051968858","31.81676015","2020-04-13 12:44:51"
"India","Jammu and Kashmir","235","4","6","0","0","0","0","76.7972892","34.0476564","2020-04-13 12:44:51"
"India","Jharkhand","17","2","0","0","0","0","0","85.2557301","23.4559809","2020-04-13 12:44:51"
"India","Karnataka","169","6","57","0","0","0","0","75.7223521","14.5203896","2020-04-13 12:44:51"
"India","Kerala","195","2","179","0","0","0","0","76.5120396","10.3528744","2020-04-13 12:44:51"
"India","Ladakh","5","0","10","0","0","0","0","77.6568576","33.9456407","2020-04-13 12:44:51"
"India","Madhya Pradesh","528","36","0","0","0","0","0","77.5340719","23.8143419","2020-04-13 12:44:51"
"India","Maharashtra","1619","149","217","0","0","0","0","76.0554568","19.531932","2020-04-13 12:44:51"
"India","Manipur","1","0","1","0","0","0","0","93.9229386","24.7208818","2020-04-13 12:44:51"
"India","Mizoram","1","0","0","0","0","0","0","92.8687612","23.2146169","2020-04-13 12:44:51"
"India","Odisha","41","1","12","0","0","0","0","84.6897321","20.5431241","2020-04-13 12:44:51"
"India","Puducherry","6","0","1","0","0","0","0","79.8306447","11.9340568","2020-04-13 12:44:51"
"India","Punjab","135","11","5","0","0","0","0","75.5004841","30.9293211","2020-04-13 12:44:51"
"India","Rajasthan","780","3","21","0","0","0","0","73.7684549","26.8105777","2020-04-13 12:44:51"
"India","Tamil Nadu","982","11","50","0","0","0","0","78.3665347","10.9094334","2020-04-13 12:44:51"
"India","Telangana","452","9","43","0","0","0","0","79.1151663","17.8495919","2020-04-13 12:44:51"
"India","Tripura","2","0","0","0","0","0","0","91.7025091","23.7750823","2020-04-13 12:44:51"
"India","Uttarakhand","30","0","5","0","0","0","0","79.32176659343018","30.091993549999998","2020-04-13 12:44:51"
"India","Uttar Pradesh","432","5","46","0","0","0","0","80.859666","27.1303344","2020-04-13 12:44:51"
"India","West Bengal","116","7","29","0","0","0","0","87.6855882","22.9964948","2020-04-13 12:44:51"
"Vietnam","Bac Lieu","3","0","0","0","0","0","0","105.70763141202488","8.92205195","2020-04-13 12:44:51"
"Vietnam","Bac Ninh","1","0","1","0","0","0","0","106.0880245","21.1212051","2020-04-13 12:44:51"
"Vietnam","Ben Tre","1","0","1","0","0","0","0","106.4690447","10.1245254","2020-04-13 12:44:51"
"Vietnam","Binh Thuan","9","0","9","0","0","0","0","107.9415938","11.101462","2020-04-13 12:44:51"
"Vietnam","Can Tho","2","0","1","0","0","0","0","105.7809605","10.0375517","2020-04-13 12:44:51"
"Vietnam","Da Nang","6","0","6","0","0","0","0","108.212","16.068","2020-04-13 12:44:51"
"Vietnam","Dong Nai","1","0","0","0","0","0","0","107.1921807","11.0063212","2020-04-13 12:44:51"
"Vietnam","Dong Thap","4","0","4","0","0","0","0","105.65339708305041","10.5542534","2020-04-13 12:44:51"
"Vietnam","Ha Nam","2","0","0","0","0","0","0","105.9543527","20.5269088","2020-04-13 12:44:51"
"Vietnam","Hanoi","125","0","58","0","0","0","0","105.8544441","21.0294498","2020-04-13 12:44:51"
"Vietnam","Ha Tinh","3","0","0","0","0","0","0","105.7842774","18.2879059","2020-04-13 12:44:51"
"Vietnam","Hai Duong","1","0","1","0","0","0","0","106.3780373","20.9443681","2020-04-13 12:44:51"
"Vietnam","Ho Chi Minh City","54","0","40","0","0","0","0","106.76197937344351","10.6497452","2020-04-13 12:44:51"
"Vietnam","Khanh Hoa","1","0","1","0","0","0","0","108.9950386","12.1960803","2020-04-13 12:44:51"
"Vietnam","Lai Chau","1","0","0","0","0","0","0","102.9628862","22.3048728","2020-04-13 12:44:51"
"Vietnam","Lao Cai","2","0","0","0","0","0","0","104.0566164","22.2967657","2020-04-13 12:44:51"
"Vietnam","Ninh Binh","13","0","1","0","0","0","0","105.9764854","20.2545421","2020-04-13 12:44:51"
"Vietnam","Ninh Thuan","2","0","2","0","0","0","0","108.8983408","11.7449715","2020-04-13 12:44:51"
"Vietnam","Quang Nam","1","0","1","0","0","0","0","108.4306103","11.9537073","2020-04-13 12:44:51"
"Vietnam","Quang Ninh","6","0","0","0","0","0","0","105.7829976","10.0434969","2020-04-13 12:44:51"
"Vietnam","Tay Ninh","3","0","2","0","0","0","0","106.0033909","11.404629","2020-04-13 12:44:51"
"Vietnam","Thanh Hoa","3","0","1","0","0","0","0","105.2124457","20.1071694","2020-04-13 12:44:51"
"Vietnam","Thua Thien Hue","4","0","4","0","0","0","0","107.5563708","16.3375374","2020-04-13 12:44:51"
"Vietnam","Tra Vinh","3","0","0","0","0","0","0","106.5328584467185","9.5738974","2020-04-13 12:44:51"
"Vietnam","Vinh Phuc","11","0","11","0","0","0","0","105.6032944","21.311356","2020-04-13 12:44:51"
"Indonesia","Province","3509","359","373","0","0","0","0","-58.3807899","-34.9507134","2020-04-13 12:44:51"
"Indonesia","Aceh","3","1","2","0","0","0","0","97.0253024","4.3685491","2020-04-13 12:44:51"
"Indonesia","Bali","60","19","2","0","0","0","0","115.0906401","-8.3304977","2020-04-13 12:44:51"
"Indonesia","Bangka Belitung","3","0","1","0","0","0","0","106.3585607","-2.7052886","2020-04-13 12:44:51"
"Indonesia","Banten","253","7","21","0","0","0","0","105.54102849016589","-6.47800285","2020-04-13 12:44:51"
"Indonesia","Bengkulu","3","0","1","0","0","0","0","102.5359834","-3.5186763","2020-04-13 12:44:51"
"Indonesia","Central Java","156","19","25","0","0","0","0","110.37164897312938","-5.6259648","2020-04-13 12:44:51"
"Indonesia","Central Kalimantan","16","7","1","0","0","0","0","113.2903307","-1.499583","2020-04-13 12:44:51"
"Indonesia","Central Sulawesi","13","2","2","0","0","0","0","120.8088555","-1.6937786","2020-04-13 12:44:51"
"Indonesia","East Java","291","68","27","0","0","0","0","112.4914199","-7.6977397","2020-04-13 12:44:51"
"Indonesia","East Kalimantan","28","6","1","0","0","0","0","116.2419977","0.7884397","2020-04-13 12:44:51"
"Indonesia","East Nusa Tenggara","1","0","0","0","0","0","0","120.6978581","-8.5656787","2020-04-13 12:44:51"
"Indonesia","Gorontalo","1","0","0","0","0","0","0","122.4555927","0.7186174","2020-04-13 12:44:51"
"Indonesia","Jakarta","1707","142","195","0","0","0","0","106.827183","-6.1753942","2020-04-13 12:44:51"
"Indonesia","Jambi","4","0","0","0","0","0","0","102.779699","-1.611572","2020-04-13 12:44:51"
"Indonesia","Lampung","18","1","1","0","0","0","0","105.0272986","-4.8555039","2020-04-13 12:44:51"
"Indonesia","Maluku","9","1","0","0","0","0","0","130.35838229206553","-5.3580518","2020-04-13 12:44:51"
"Indonesia","North Kalimantan","15","0","1","0","0","0","0","116.2049306","3.0235817","2020-04-13 12:44:51"
"Indonesia","North Maluku","1","1","0","0","0","0","0","127.9720219","0.6301215","2020-04-13 12:44:51"
"Indonesia","North Sulawesi","14","1","2","0","0","0","0","124.090151","0.6555692","2020-04-13 12:44:51"
"Indonesia","North Sumatra","49","8","8","0","0","0","0","99.3812201","2.1923519","2020-04-13 12:44:51"
"Indonesia","Papua","55","5","3","0","0","0","0","137.9966136","-4.11501855","2020-04-13 12:44:51"
"Indonesia","Riau","15","1","0","0","0","0","0","101.65561770919261","0.94000845","2020-04-13 12:44:51"
"Indonesia","Riau Islands","18","2","1","0","0","0","0","104.5803745","-0.1547846","2020-04-13 12:44:51"
"Indonesia","South Kalimantan","32","0","2","0","0","0","0","115.3700718","-2.9285686","2020-04-13 12:44:51"
"Indonesia","South Sulawesi","182","25","15","0","0","0","0","119.9471906","-3.6446718","2020-04-13 12:44:51"
"Indonesia","Southeast Sulawesi","14","1","1","0","0","0","0","121.7279646","-3.5491199","2020-04-13 12:44:51"
"Indonesia","South Sumatra","15","4","2","0","0","0","0","104.0930554","-3.1266842","2020-04-13 12:44:51"
"Indonesia","West Java","398","19","43","0","0","0","0","107.6404716","-6.8891904","2020-04-13 12:44:51"
"Indonesia","West Kalimantan","7","3","3","0","0","0","0","111.0968901","-0.1322387","2020-04-13 12:44:51"
"Indonesia","West Nusa Tenggara","33","2","2","0","0","0","0","117.146169","-8.7892855","2020-04-13 12:44:51"
