"country","region","infected","deaths","recoveries","active","total_per_mil","deaths_per_mil","total_tests","long","lat","last_updated"
"Thailand","Bangkok","945","11","0","0","0","0","0","100.8160803","13.7538929","2020-04-15 13:44:32"
"Thailand","Nakhon Pathom","17","0","0","0","0","0","0","100.0165659","13.8918425","2020-04-15 13:44:32"
"Thailand","Nonthaburi","114","1","0","0","0","0","0","100.3456772","13.8610918","2020-04-15 13:44:32"
"Thailand","Pathum Thani","24","0","0","0","0","0","0","100.62772941819286","14.095578","2020-04-15 13:44:32"
"Thailand","Samut Prakan","88","1","0","0","0","0","0","100.8182578","13.6531651","2020-04-15 13:44:32"
"Thailand","Samut Sakhon","16","0","0","0","0","0","0","100.2585874","13.5708192","2020-04-15 13:44:32"
"Thailand","Ang Thong","0","0","0","0","0","0","0","100.3170382","14.6495224","2020-04-15 13:44:32"
"Thailand","Chai Nat","0","0","0","0","0","0","0","100.1278743","15.1846204","2020-04-15 13:44:32"
"Thailand","Kamphaeng Phet","0","0","0","0","0","0","0","99.6111616","16.4183581","2020-04-15 13:44:32"
"Thailand","Lopburi","2","0","0","0","0","0","0","100.8089178","15.026458","2020-04-15 13:44:32"
"Thailand","Nakhon Nayok","2","0","0","0","0","0","0","101.2177459","14.1494474","2020-04-15 13:44:32"
"Thailand","Nakhon Sawan","7","0","0","0","0","0","0","99.9288481","15.7054772","2020-04-15 13:44:32"
"Thailand","Phetchabun","3","0","0","0","0","0","0","100.9552749","16.3293171","2020-04-15 13:44:32"
"Thailand","Phichit","0","0","0","0","0","0","0","100.1924695","16.4551073","2020-04-15 13:44:32"
"Thailand","Phitsanulok","3","0","0","0","0","0","0","100.53112940961353","17.0458608","2020-04-15 13:44:32"
"Thailand","Phra Nakhon Si Ayutthaya","0","0","0","0","0","0","0","100.5645684","14.3535427","2020-04-15 13:44:32"
"Thailand","Samut Songkhram","0","0","0","0","0","0","0","99.9619685","13.3576862","2020-04-15 13:44:32"
"Thailand","Saraburi","5","0","0","0","0","0","0","100.9160757","14.5249471","2020-04-15 13:44:32"
"Thailand","Sing Buri","0","0","0","0","0","0","0","100.3602963","14.9936716","2020-04-15 13:44:32"
"Thailand","Suphanburi","2","0","0","0","0","0","0","100.0350785","14.6777","2020-04-15 13:44:32"
"Thailand","Sukhothai","3","0","0","0","0","0","0","99.4375845","17.1446985","2020-04-15 13:44:32"
"Thailand","Uthai Thani","1","0","0","0","0","0","0","99.4560531","15.3912084","2020-04-15 13:44:32"
"Thailand","Chonburi","54","0","0","0","0","0","0","101.1210777","13.1857117","2020-04-15 13:44:32"
"Thailand","Chachoengsao","11","0","0","0","0","0","0","101.5467201","13.6093192","2020-04-15 13:44:32"
"Thailand","Chanthaburi","3","0","0","0","0","0","0","102.3152919","12.8264362","2020-04-15 13:44:32"
"Thailand","Prachinburi","3","0","0","0","0","0","0","101.5547823","14.1542055","2020-04-15 13:44:32"
"Thailand","Rayong","4","0","0","0","0","0","0","101.3705344","12.7943716","2020-04-15 13:44:32"
"Thailand","Sa Kaeo","12","0","0","0","0","0","0","102.1345352","13.7686129","2020-04-15 13:44:32"
"Thailand","Trat","0","0","0","0","0","0","0","102.4268871","12.2593544","2020-04-15 13:44:32"
"Thailand","Amnat Charoen","2","0","0","0","0","0","0","104.7328575","15.9949473","2020-04-15 13:44:32"
"Thailand","Bueng Kan","0","0","0","0","0","0","0","103.650515","18.366023","2020-04-15 13:44:32"
"Thailand","Buriram","12","0","0","0","0","0","0","103.1076977","14.9951525","2020-04-15 13:44:32"
"Thailand","Chaiyaphum","2","0","0","0","0","0","0","101.7153824","16.2720349","2020-04-15 13:44:32"
"Thailand","Kalasin","3","0","0","0","0","0","0","103.6525467","16.5912597","2020-04-15 13:44:32"
"Thailand","Khon Kaen","4","0","0","0","0","0","0","102.6352933","16.6022387","2020-04-15 13:44:32"
"Thailand","Loei","2","0","0","0","0","0","0","101.4638277","17.3158563","2020-04-15 13:44:32"
"Thailand","Maha Sarakham","1","1","0","0","0","0","0","103.0840638","15.9041448","2020-04-15 13:44:32"
"Thailand","Mukdahan","4","0","0","0","0","0","0","104.3470293","16.6972385","2020-04-15 13:44:32"
"Thailand","Nakhon Phanom","1","0","0","0","0","0","0","104.6089459","17.1990989","2020-04-15 13:44:32"
"Thailand","Nakhon Ratchasima","15","0","0","0","0","0","0","101.9313754","15.2241917","2020-04-15 13:44:32"
"Thailand","Nong Bua Lamphu","4","0","0","0","0","0","0","102.2074566","17.3521009","2020-04-15 13:44:32"
"Thailand","Nong Khai","2","0","0","0","0","0","0","102.4649809","17.9301421","2020-04-15 13:44:32"
"Thailand","Roi Et","3","0","0","0","0","0","0","103.7013017","15.7486448","2020-04-15 13:44:32"
"Thailand","Sakon Nakhon","0","0","0","0","0","0","0","103.9730898","17.1904453","2020-04-15 13:44:32"
"Thailand","Sisaket","8","0","0","0","0","0","0","104.4439596","14.9222","2020-04-15 13:44:32"
"Thailand","Surin","8","0","0","0","0","0","0","103.493048","14.884901","2020-04-15 13:44:32"
"Thailand","Ubon Ratchathani","14","0","0","0","0","0","0","105.3269544","15.1879684","2020-04-15 13:44:32"
"Thailand","Udon Thani","8","0","0","0","0","0","0","102.6680012","17.5211917","2020-04-15 13:44:32"
"Thailand","Yasothon","1","0","0","0","0","0","0","104.2748479","16.0282186","2020-04-15 13:44:32"
