"country","region","infected","deaths","recoveries","long","lat","last_updated"
"South Korea","Seoul","426","0","0","126.9782914","37.5666791","2020-04-03 05:25:13"
"South Korea","Busan","118","3","0","129.0752365","35.1799528","2020-04-03 05:25:13"
"South Korea","Daegu","6624","111","0","128.6018","35.8713","2020-04-03 05:25:13"
"South Korea","Incheon","58","0","0","126.7052","37.456","2020-04-03 05:25:13"
"South Korea","Gwangju","20","0","0","126.8515089","35.1595775","2020-04-03 05:25:13"
"South Korea","Daejeon","34","0","0","127.3848","36.3496","2020-04-03 05:25:13"
"South Korea","Ulsan","39","0","0","129.3119136","35.5391697","2020-04-03 05:25:13"
"South Korea","Sejong","46","0","0","127.289","36.4799999","2020-04-03 05:25:13"
"South Korea","Gyeonggi","463","5","0","127.0095","37.2752","2020-04-03 05:25:13"
"South Korea","Gangwon","36","1","0","127.7297","37.885","2020-04-03 05:25:13"
"South Korea","Chungbuk","44","0","0","127.4915","36.6357","2020-04-03 05:25:13"
"South Korea","Chungnam","127","0","0","126.6729","36.6593","2020-04-03 05:25:13"
"South Korea","Jeonbuk","13","0","0","127.109","35.8198999","2020-04-03 05:25:13"
"South Korea","Jeonnam","9","0","0","126.4629","34.8159","2020-04-03 05:25:13"
"South Korea","Gyeongbuk","1298","38","0","128.5058","36.5754","2020-04-03 05:25:13"
"South Korea","Gyeongnam","95","0","0","128.6925","35.2382","2020-04-03 05:25:13"
"South Korea","Jeju","9","0","0","126.5626653","33.3939924","2020-04-03 05:25:13"
"South Korea","Airport screening","202","0","0","127.6961188","36.638392","2020-04-03 05:25:13"
"Taiwan","","339","5","50","120.83536313817521","23.59829785","2020-04-03 05:25:13"
"India","Andaman and Nicobar Islands","10","0","0","92.5771329","10.2188344","2020-04-03 05:25:13"
"India","Andhra Pradesh","84","1","1","80.1863809","15.9240905","2020-04-03 05:25:13"
"India","Assam","5","0","0","93.2551303","26.4073841","2020-04-03 05:25:13"
"India","Bihar","23","1","0","85.906508","25.6440845","2020-04-03 05:25:13"
"India","Chandigarh","16","0","0","76.7646552","30.7194022","2020-04-03 05:25:13"
"India","Chhattisgarh","7","0","2","81.8406351","21.6637359","2020-04-03 05:25:13"
"India","Delhi","207","4","8","77.2219388","28.6517178","2020-04-03 05:25:13"
"India","Goa","5","0","0","74.0855134","15.3004543","2020-04-03 05:25:13"
"India","Gujarat","72","7","8","72.03149703699282","22.41540825","2020-04-03 05:25:13"
"India","Haryana","22","0","21","76.0","29.0","2020-04-03 05:25:13"
"India","Himachal Pradesh","1","1","1","77.34932051968858","31.81676015","2020-04-03 05:25:13"
"India","Jammu and Kashmir","58","2","2","76.7972892","34.0476564","2020-04-03 05:25:13"
"India","Jharkhand","1","0","0","85.2557301","23.4559809","2020-04-03 05:25:13"
"India","Karnataka","98","3","9","75.7223521","14.5203896","2020-04-03 05:25:13"
"India","Kerala","238","2","25","76.5120396","10.3528744","2020-04-03 05:25:13"
"India","Ladakh","10","0","3","77.6568576","33.9456407","2020-04-03 05:25:13"
"India","Madhya Pradesh","93","6","0","77.5340719","23.8143419","2020-04-03 05:25:13"
"India","Maharashtra","280","13","42","76.0554568","19.531932","2020-04-03 05:25:13"
"India","Manipur","1","0","0","93.9229386","24.7208818","2020-04-03 05:25:13"
"India","Mizoram","1","0","0","92.8687612","23.2146169","2020-04-03 05:25:13"
"India","Odisha","4","0","0","84.6897321","20.5431241","2020-04-03 05:25:13"
"India","Puducherry","2","0","1","79.8306447","11.9340568","2020-04-03 05:25:13"
"India","Punjab","41","4","1","75.5004841","30.9293211","2020-04-03 05:25:13"
"India","Rajasthan","105","0","3","73.7684549","26.8105777","2020-04-03 05:25:13"
"India","Tamil Nadu","227","1","6","78.3665347","10.9094334","2020-04-03 05:25:13"
"India","Telangana","103","3","1","79.1151663","17.8495919","2020-04-03 05:25:13"
"India","Uttarakhand","5","0","2","79.32176659343018","30.091993549999998","2020-04-03 05:25:13"
"India","Uttar Pradesh","97","2","14","80.859666","27.1303344","2020-04-03 05:25:13"
"India","West Bengal","44","3","6","87.6855882","22.9964948","2020-04-03 05:25:13"
"Sri Lanka","","151","4","21","80.7137847","7.5554942","2020-04-03 05:25:13"
"Myanmar","","16","1","0","95.9999652","17.1750495","2020-04-03 05:25:13"
"Laos","","9","0","0","103.378253","20.0171109","2020-04-03 05:25:13"
"Vietnam","Bac Lieu","2","0","0","105.70763141202488","8.92205195","2020-04-03 05:25:13"
"Vietnam","Bac Ninh","1","0","0","106.0880245","21.1212051","2020-04-03 05:25:13"
"Vietnam","Ben Tre","1","0","0","106.4690447","10.1245254","2020-04-03 05:25:13"
"Vietnam","Binh Thuan","9","0","0","107.9415938","11.101462","2020-04-03 05:25:13"
"Vietnam","Can Tho","2","0","0","105.7809605","10.0375517","2020-04-03 05:25:13"
"Vietnam","Da Nang","6","0","3","108.212","16.068","2020-04-03 05:25:13"
"Vietnam","Dong Thap","4","0","0","105.65339708305041","10.5542534","2020-04-03 05:25:13"
"Vietnam","Hai Duong","1","0","1","106.3780373","20.9443681","2020-04-03 05:25:13"
"Vietnam","Hanoi","102","0","38","105.8544441","21.0294498","2020-04-03 05:25:13"
"Vietnam","Ha Tinh","2","0","0","105.7842774","18.2879059","2020-04-03 05:25:13"
"Vietnam","Ho Chi Minh City","50","0","15","106.76197937344351","10.6497452","2020-04-03 05:25:13"
"Vietnam","Khanh Hoa","1","0","1","108.9950386","12.1960803","2020-04-03 05:25:13"
"Vietnam","Lai Chau","1","0","0","102.9628862","22.3048728","2020-04-03 05:25:13"
"Vietnam","Lao Cai","2","0","0","104.0566164","22.2967657","2020-04-03 05:25:13"
"Vietnam","Ninh Binh","9","0","1","105.9764854","20.2545421","2020-04-03 05:25:13"
"Vietnam","Ninh Thuan","2","0","2","108.8983408","11.7449715","2020-04-03 05:25:13"
"Vietnam","Quang Nam","3","0","0","108.4306103","11.9537073","2020-04-03 05:25:13"
"Vietnam","Quang Ninh","7","0","0","105.7829976","10.0434969","2020-04-03 05:25:13"
"Vietnam","Tay Ninh","2","0","0","106.0033909","11.404629","2020-04-03 05:25:13"
"Vietnam","Thai Nguyen","1","0","0","105.8359331","21.655458","2020-04-03 05:25:13"
"Vietnam","Thanh Hoa","3","0","1","105.2124457","20.1071694","2020-04-03 05:25:13"
"Vietnam","Thua Thien Hue","2","0","2","107.5563708","16.3375374","2020-04-03 05:25:13"
"Vietnam","Tra Vinh","3","0","0","106.5328584467185","9.5738974","2020-04-03 05:25:13"
"Vietnam","Vinh Phuc","11","0","11","105.6032944","21.311356","2020-04-03 05:25:13"
"Hong Kong","","802","4","154","114.1628131","22.2793278","2020-04-03 05:25:13"
"Macau","","41","0","10","113.5514142","22.1757605","2020-04-03 05:25:13"
"Singapore","","1049","4","266","103.8194992","1.357107","2020-04-03 05:25:13"
"Indonesia","Province","1508","112","170","-58.3807899","-34.9507134","2020-04-03 05:25:13"
"Indonesia","Aceh","5","0","0","97.0253024","4.3685491","2020-04-03 05:25:13"
"Indonesia","Bali","13","10","2","115.0906401","-8.3304977","2020-04-03 05:25:13"
"Indonesia","Bangka Belitung","1","0","1","106.3585607","-2.7052886","2020-04-03 05:25:13"
